raiser_position,defender_position,defender_archetype,hand,avg_ev_bb
BTN,SB,TAG,K5o,1.5111960863997753
BTN,SB,TAG,K3o,1.5373926948208572
BTN,SB,TAG,Q8o,1.494823206136599
BTN,SB,TAG,T7s,1.494823206136599
BTN,SB,TAG,J8o,1.5111960863997753
BTN,SB,TAG,97s,1.4892359607467902
BTN,SB,TAG,T8s,1.5111960863997753
BTN,SB,TAG,Q4s,1.478450325873423
BTN,SB,TAG,J4s,1.494823206136599
BTN,SB,TAG,J3s,1.5217975263701817
BTN,SB,TAG,96s,1.4904843928668576
BTN,SB,TAG,J7o,1.494823206136599
BTN,SB,TAG,Q5o,1.478450325873423
BTN,SB,TAG,J4o,1.5275689666629517
BTN,SB,TAG,98s,1.5070210019326655
BTN,SB,TAG,T9s,1.5026003242616077
BTN,SB,TAG,K2o,1.5275689666629517
BTN,SB,TAG,Q4o,1.5111960863997753
BTN,SB,TAG,22,1.5423045588998099
BTN,SB,TAG,98o,1.5078396459458243
BTN,SB,TAG,Q2s,1.478450325873423
BTN,SB,TAG,T8o,1.5111960863997753
BTN,SB,TAG,Q3o,1.5053837139063477
BTN,SB,TAG,J6o,1.494823206136599
BTN,SB,TAG,J5o,1.494823206136599
BTN,SB,TAG,J2s,1.494823206136599
BTN,SB,TAG,T4s,1.494823206136599
BTN,SB,TAG,T3s,1.5215519331662344
BTN,SB,TAG,97o,1.489420155649751
BTN,SB,TAG,87s,1.494823206136599
BTN,SB,TAG,96o,1.4888880370411979
BTN,SB,TAG,T4o,1.5275689666629517
BTN,SB,TAG,T5s,1.494823206136599
BTN,SB,TAG,T6s,1.494823206136599
BTN,SB,TAG,85s,1.494823206136599
BTN,SB,TAG,J3o,1.5219612551728137
